HK17; test nb;Test Descripcion;degree;oa;ob;m;n;r;s;f;h;rA;rB;k1;k2
HK17;73;64-bits KEM - HK17-O-64 - 8-bits version;16;(198, 132, 207, 161, 104, 23, 98, 43);(228, 244, 233, 25, 199, 6, 200, 59);207;215;53;191;[(201, 15), (214, 14), (234, 13), (131, 12), (201, 11), (213, 10), (152, 9), (154, 8), (7, 7), (237, 6), (163, 5), (211, 4), (141, 3), (114, 2), (170, 1), (108, 0)];[(213, 15), (139, 14), (95, 13), (23, 12), (16, 11), (179, 10), (62, 9), (194, 8), (213, 7), (171, 6), (9, 5), (165, 4), (28, 3), (168, 2), (43, 1), (231, 0)];(235, 7, 40, 124, 168, 186, 31, 138);(216, 183, 250, 240, 117, 170, 165, 46);(144, 210, 223, 41, 109, 214, 130, 71);(144, 210, 223, 41, 109, 214, 130, 71)
HK17;74;64-bits KEM - HK17-O-64 - 8-bits version;16;(65, 88, 138, 177, 132, 177, 89, 64);(177, 182, 223, 249, 77, 131, 76, 201);135;82;241;71;[(80, 15), (234, 14), (26, 13), (140, 12), (44, 11), (186, 10), (211, 9), (164, 8), (105, 7), (57, 6), (71, 5), (143, 4), (27, 3), (78, 2), (63, 1), (204, 0)];[(95, 15), (242, 14), (206, 13), (181, 12), (212, 11), (135, 10), (88, 9), (123, 8), (30, 7), (16, 6), (222, 5), (110, 4), (19, 3), (184, 2), (121, 1), (72, 0)];(224, 170, 217, 143, 226, 236, 68, 153);(137, 6, 115, 144, 228, 249, 24, 224);(245, 47, 82, 123, 110, 57, 14, 148);(245, 47, 82, 123, 110, 57, 14, 148)
HK17;75;64-bits KEM - HK17-O-64 - 8-bits version;16;(96, 170, 89, 218, 85, 88, 30, 31);(83, 190, 102, 58, 181, 51, 2, 230);215;181;70;40;[(204, 15), (184, 14), (185, 13), (36, 12), (89, 11), (67, 10), (21, 9), (143, 8), (106, 7), (213, 6), (143, 5), (66, 4), (139, 3), (133, 2), (239, 1), (38, 0)];[(217, 15), (122, 14), (154, 13), (165, 12), (90, 11), (1, 10), (115, 9), (241, 8), (249, 7), (206, 6), (161, 5), (195, 4), (40, 3), (210, 2), (186, 1), (96, 0)];(42, 174, 206, 177, 99, 193, 25, 10);(146, 225, 109, 181, 11, 95, 108, 231);(103, 76, 47, 21, 124, 177, 164, 199);(103, 76, 47, 21, 124, 177, 164, 199)
HK17;76;64-bits KEM - HK17-O-64 - 8-bits version;16;(33, 195, 231, 165, 84, 249, 100, 82);(171, 50, 167, 210, 40, 119, 227, 130);239;94;167;193;[(140, 15), (119, 14), (64, 13), (228, 12), (79, 11), (196, 10), (175, 9), (74, 8), (93, 7), (42, 6), (78, 5), (223, 4), (189, 3), (169, 2), (16, 1), (139, 0)];[(26, 15), (242, 14), (91, 13), (204, 12), (100, 11), (101, 10), (225, 9), (60, 8), (128, 7), (45, 6), (80, 5), (164, 4), (191, 3), (185, 2), (225, 1), (122, 0)];(130, 238, 218, 105, 159, 179, 248, 248);(9, 236, 214, 20, 98, 31, 122, 25);(90, 240, 235, 225, 134, 42, 180, 38);(90, 240, 235, 225, 134, 42, 180, 38)
HK17;77;64-bits KEM - HK17-O-64 - 8-bits version;16;(82, 176, 35, 29, 246, 45, 70, 0);(183, 225, 170, 226, 183, 70, 226, 148);86;55;147;130;[(7, 15), (71, 14), (49, 13), (142, 12), (32, 11), (103, 10), (53, 9), (142, 8), (5, 7), (211, 6), (245, 5), (25, 4), (185, 3), (87, 2), (57, 1), (169, 0)];[(188, 15), (127, 14), (236, 13), (221, 12), (245, 11), (87, 10), (47, 9), (115, 8), (172, 7), (113, 6), (131, 5), (79, 4), (76, 3), (76, 2), (90, 1), (173, 0)];(154, 134, 198, 230, 103, 169, 247, 161);(89, 126, 172, 228, 24, 218, 62, 130);(16, 231, 39, 58, 143, 142, 107, 91);(16, 231, 39, 58, 143, 142, 107, 91)
HK17;78;64-bits KEM - HK17-O-64 - 8-bits version;16;(229, 15, 184, 93, 147, 120, 20, 15);(202, 80, 22, 85, 48, 37, 156, 37);24;153;182;185;[(199, 15), (34, 14), (67, 13), (109, 12), (193, 11), (60, 10), (110, 9), (219, 8), (89, 7), (160, 6), (153, 5), (163, 4), (53, 3), (123, 2), (134, 1), (166, 0)];[(4, 15), (42, 14), (39, 13), (8, 12), (184, 11), (232, 10), (220, 9), (40, 8), (78, 7), (198, 6), (157, 5), (27, 4), (86, 3), (229, 2), (79, 1), (210, 0)];(91, 22, 190, 129, 87, 31, 236, 200);(211, 223, 250, 81, 226, 189, 118, 162);(214, 237, 150, 240, 168, 82, 42, 107);(214, 237, 150, 240, 168, 82, 42, 107)
HK17;79;64-bits KEM - HK17-O-64 - 8-bits version;16;(169, 228, 3, 213, 138, 169, 38, 162);(42, 131, 171, 45, 14, 120, 18, 35);25;29;13;141;[(216, 15), (200, 14), (138, 13), (112, 12), (103, 11), (203, 10), (179, 9), (225, 8), (152, 7), (187, 6), (14, 5), (5, 4), (72, 3), (152, 2), (149, 1), (33, 0)];[(108, 15), (178, 14), (189, 13), (156, 12), (229, 11), (140, 10), (108, 9), (126, 8), (161, 7), (174, 6), (93, 5), (135, 4), (49, 3), (98, 2), (210, 1), (237, 0)];(44, 90, 143, 113, 195, 64, 141, 126);(134, 175, 47, 89, 190, 71, 77, 151);(152, 110, 70, 11, 88, 135, 136, 1);(152, 110, 70, 11, 88, 135, 136, 1)
HK17;80;64-bits KEM - HK17-O-64 - 8-bits version;16;(121, 61, 201, 40, 10, 191, 130, 195);(207, 224, 92, 71, 218, 20, 98, 197);242;8;67;214;[(116, 15), (48, 14), (182, 13), (1, 12), (205, 11), (160, 10), (143, 9), (215, 8), (110, 7), (190, 6), (24, 5), (168, 4), (212, 3), (54, 2), (14, 1), (62, 0)];[(7, 15), (46, 14), (62, 13), (213, 12), (112, 11), (115, 10), (175, 9), (132, 8), (135, 7), (77, 6), (133, 5), (5, 4), (153, 3), (207, 2), (93, 1), (19, 0)];(207, 128, 105, 96, 165, 156, 203, 250);(50, 204, 168, 198, 95, 34, 5, 13);(50, 88, 206, 226, 226, 102, 116, 63);(50, 88, 206, 226, 226, 102, 116, 63)
HK17;81;64-bits KEM - HK17-O-64 - 8-bits version;16;(25, 67, 115, 249, 109, 130, 186, 81);(181, 225, 159, 201, 163, 81, 4, 74);208;171;118;179;[(223, 15), (178, 14), (35, 13), (114, 12), (46, 11), (199, 10), (32, 9), (100, 8), (15, 7), (233, 6), (233, 5), (130, 4), (190, 3), (118, 2), (128, 1), (234, 0)];[(8, 15), (209, 14), (35, 13), (168, 12), (2, 11), (246, 10), (232, 9), (71, 8), (118, 7), (37, 6), (174, 5), (122, 4), (3, 3), (86, 2), (99, 1), (120, 0)];(201, 176, 185, 191, 197, 245, 92, 131);(71, 195, 26, 240, 185, 22, 98, 31);(178, 227, 30, 55, 206, 173, 118, 157);(178, 227, 30, 55, 206, 173, 118, 157)
HK17;82;64-bits KEM - HK17-O-64 - 8-bits version;16;(171, 211, 218, 207, 49, 142, 183, 80);(149, 62, 94, 125, 224, 202, 194, 198);2;101;163;114;[(55, 15), (222, 14), (35, 13), (66, 12), (102, 11), (154, 10), (206, 9), (148, 8), (135, 7), (41, 6), (47, 5), (67, 4), (4, 3), (123, 2), (147, 1), (52, 0)];[(159, 15), (53, 14), (83, 13), (104, 12), (46, 11), (145, 10), (122, 9), (113, 8), (26, 7), (147, 6), (80, 5), (112, 4), (5, 3), (72, 2), (42, 1), (89, 0)];(40, 5, 75, 71, 81, 101, 142, 104);(84, 208, 131, 149, 134, 96, 115, 186);(199, 112, 136, 163, 95, 215, 21, 230);(199, 112, 136, 163, 95, 215, 21, 230)
HK17;83;64-bits KEM - HK17-O-64 - 8-bits version;16;(138, 185, 123, 27, 72, 67, 223, 229);(118, 40, 28, 112, 135, 232, 154, 250);126;204;170;29;[(229, 15), (243, 14), (174, 13), (60, 12), (125, 11), (233, 10), (96, 9), (186, 8), (158, 7), (194, 6), (202, 5), (244, 4), (179, 3), (232, 2), (21, 1), (116, 0)];[(210, 15), (60, 14), (89, 13), (219, 12), (228, 11), (238, 10), (6, 9), (70, 8), (182, 7), (145, 6), (203, 5), (70, 4), (28, 3), (75, 2), (98, 1), (131, 0)];(149, 69, 28, 149, 12, 24, 36, 110);(63, 154, 177, 170, 16, 48, 218, 188);(210, 107, 179, 175, 198, 230, 26, 25);(210, 107, 179, 175, 198, 230, 26, 25)
HK17;84;64-bits KEM - HK17-O-64 - 8-bits version;16;(159, 194, 134, 80, 153, 29, 179, 166);(48, 227, 177, 43, 93, 132, 175, 185);141;164;5;157;[(224, 15), (49, 14), (56, 13), (134, 12), (65, 11), (12, 10), (197, 9), (72, 8), (226, 7), (172, 6), (197, 5), (244, 4), (154, 3), (59, 2), (95, 1), (203, 0)];[(156, 15), (213, 14), (6, 13), (41, 12), (12, 11), (22, 10), (70, 9), (98, 8), (121, 7), (70, 6), (232, 5), (127, 4), (144, 3), (36, 2), (32, 1), (157, 0)];(53, 231, 170, 11, 31, 7, 127, 234);(82, 195, 86, 65, 191, 108, 18, 114);(43, 174, 75, 36, 168, 52, 140, 90);(43, 174, 75, 36, 168, 52, 140, 90)
HK17;85;64-bits KEM - HK17-O-64 - 8-bits version;16;(133, 184, 95, 189, 31, 49, 132, 67);(182, 217, 119, 214, 95, 101, 98, 74);226;111;144;68;[(118, 15), (111, 14), (224, 13), (114, 12), (207, 11), (82, 10), (228, 9), (217, 8), (240, 7), (29, 6), (11, 5), (132, 4), (200, 3), (45, 2), (88, 1), (90, 0)];[(215, 15), (27, 14), (189, 13), (191, 12), (79, 11), (89, 10), (51, 9), (241, 8), (82, 7), (227, 6), (224, 5), (189, 4), (20, 3), (172, 2), (212, 1), (159, 0)];(153, 148, 155, 61, 9, 179, 137, 247);(233, 198, 26, 146, 193, 247, 191, 48);(64, 61, 248, 181, 158, 109, 50, 230);(64, 61, 248, 181, 158, 109, 50, 230)
HK17;86;64-bits KEM - HK17-O-64 - 8-bits version;16;(1, 118, 240, 21, 105, 219, 103, 91);(106, 61, 59, 0, 151, 244, 136, 122);73;145;175;74;[(192, 15), (167, 14), (198, 13), (199, 12), (103, 11), (49, 10), (147, 9), (187, 8), (10, 7), (174, 6), (101, 5), (214, 4), (174, 3), (120, 2), (71, 1), (165, 0)];[(137, 15), (212, 14), (228, 13), (171, 12), (167, 11), (5, 10), (195, 9), (209, 8), (118, 7), (186, 6), (27, 5), (183, 4), (122, 3), (121, 2), (118, 1), (236, 0)];(65, 168, 177, 15, 82, 139, 0, 220);(87, 54, 171, 180, 111, 221, 69, 144);(153, 190, 194, 167, 141, 153, 225, 14);(153, 190, 194, 167, 141, 153, 225, 14)
HK17;87;64-bits KEM - HK17-O-64 - 8-bits version;16;(118, 19, 78, 20, 165, 159, 75, 124);(132, 118, 223, 212, 244, 39, 214, 240);182;79;181;4;[(79, 15), (210, 14), (116, 13), (226, 12), (109, 11), (240, 10), (225, 9), (29, 8), (218, 7), (179, 6), (150, 5), (87, 4), (147, 3), (40, 2), (40, 1), (23, 0)];[(2, 15), (142, 14), (16, 13), (84, 12), (27, 11), (30, 10), (112, 9), (220, 8), (67, 7), (63, 6), (142, 5), (22, 4), (60, 3), (153, 2), (117, 1), (96, 0)];(149, 105, 221, 191, 195, 111, 115, 0);(78, 105, 172, 231, 87, 230, 208, 131);(58, 168, 213, 191, 208, 114, 36, 229);(58, 168, 213, 191, 208, 114, 36, 229)
HK17;88;64-bits KEM - HK17-O-64 - 8-bits version;16;(199, 54, 118, 112, 119, 245, 73, 49);(173, 71, 114, 124, 106, 238, 133, 181);147;156;189;104;[(27, 15), (19, 14), (220, 13), (44, 12), (64, 11), (174, 10), (150, 9), (10, 8), (112, 7), (24, 6), (132, 5), (143, 4), (143, 3), (20, 2), (166, 1), (110, 0)];[(50, 15), (189, 14), (249, 13), (220, 12), (105, 11), (130, 10), (149, 9), (47, 8), (70, 7), (153, 6), (102, 5), (250, 4), (62, 3), (117, 2), (22, 1), (210, 0)];(67, 28, 245, 12, 14, 5, 162, 46);(182, 93, 73, 157, 134, 4, 91, 121);(32, 162, 208, 228, 18, 23, 104, 110);(32, 162, 208, 228, 18, 23, 104, 110)
HK17;89;64-bits KEM - HK17-O-64 - 8-bits version;16;(244, 146, 23, 83, 247, 109, 76, 142);(250, 104, 232, 239, 49, 84, 164, 167);156;38;136;124;[(126, 15), (106, 14), (103, 13), (153, 12), (150, 11), (226, 10), (144, 9), (83, 8), (222, 7), (186, 6), (99, 5), (66, 4), (134, 3), (140, 2), (217, 1), (193, 0)];[(4, 15), (65, 14), (216, 13), (186, 12), (213, 11), (93, 10), (161, 9), (43, 8), (134, 7), (21, 6), (39, 5), (244, 4), (74, 3), (189, 2), (10, 1), (151, 0)];(75, 177, 220, 107, 204, 23, 78, 227);(223, 219, 63, 233, 199, 210, 116, 121);(148, 103, 232, 81, 41, 59, 213, 198);(148, 103, 232, 81, 41, 59, 213, 198)
HK17;90;64-bits KEM - HK17-O-64 - 8-bits version;16;(2, 134, 148, 159, 60, 113, 159, 219);(3, 195, 206, 26, 59, 30, 143, 230);235;253;203;150;[(17, 15), (179, 14), (64, 13), (76, 12), (75, 11), (172, 10), (15, 9), (52, 8), (73, 7), (55, 6), (155, 5), (62, 4), (242, 3), (237, 2), (144, 1), (161, 0)];[(128, 15), (47, 14), (90, 13), (205, 12), (66, 11), (201, 10), (32, 9), (43, 8), (9, 7), (54, 6), (82, 5), (178, 4), (241, 3), (248, 2), (209, 1), (27, 0)];(236, 104, 181, 146, 64, 24, 155, 37);(188, 244, 162, 190, 137, 195, 248, 236);(149, 64, 122, 100, 82, 97, 71, 185);(149, 64, 122, 100, 82, 97, 71, 185)
HK17;91;64-bits KEM - HK17-O-64 - 8-bits version;16;(174, 212, 44, 137, 89, 214, 120, 144);(210, 116, 1, 12, 231, 240, 60, 216);163;238;38;178;[(116, 15), (204, 14), (108, 13), (182, 12), (175, 11), (185, 10), (200, 9), (204, 8), (91, 7), (22, 6), (7, 5), (80, 4), (243, 3), (111, 2), (6, 1), (84, 0)];[(100, 15), (124, 14), (11, 13), (99, 12), (135, 11), (17, 10), (42, 9), (41, 8), (223, 7), (186, 6), (239, 5), (154, 4), (247, 3), (67, 2), (7, 1), (10, 0)];(241, 133, 145, 233, 49, 63, 148, 165);(159, 110, 179, 248, 64, 156, 11, 131);(128, 56, 79, 90, 239, 219, 128, 164);(128, 56, 79, 90, 239, 219, 128, 164)
HK17;92;64-bits KEM - HK17-O-64 - 8-bits version;16;(24, 116, 162, 29, 134, 126, 5, 182);(147, 205, 121, 130, 55, 212, 151, 90);35;109;27;131;[(237, 15), (23, 14), (95, 13), (59, 12), (170, 11), (6, 10), (73, 9), (215, 8), (131, 7), (224, 6), (214, 5), (104, 4), (190, 3), (224, 2), (12, 1), (42, 0)];[(95, 15), (137, 14), (105, 13), (249, 12), (115, 11), (76, 10), (202, 9), (107, 8), (189, 7), (21, 6), (102, 5), (177, 4), (219, 3), (183, 2), (48, 1), (158, 0)];(136, 40, 48, 192, 206, 112, 0, 14);(82, 1, 233, 86, 198, 7, 96, 24);(75, 226, 9, 218, 219, 186, 112, 45);(75, 226, 9, 218, 219, 186, 112, 45)
HK17;93;64-bits KEM - HK17-O-64 - 8-bits version;16;(67, 57, 242, 47, 172, 174, 103, 207);(220, 111, 240, 101, 22, 34, 202, 78);129;91;168;102;[(205, 15), (126, 14), (51, 13), (180, 12), (236, 11), (244, 10), (6, 9), (93, 8), (212, 7), (8, 6), (160, 5), (215, 4), (207, 3), (190, 2), (210, 1), (184, 0)];[(224, 15), (84, 14), (8, 13), (71, 12), (201, 11), (200, 10), (53, 9), (228, 8), (3, 7), (77, 6), (212, 5), (119, 4), (42, 3), (208, 2), (150, 1), (23, 0)];(120, 171, 140, 14, 230, 200, 54, 27);(236, 39, 4, 87, 246, 46, 143, 207);(220, 224, 30, 187, 176, 103, 178, 191);(220, 224, 30, 187, 176, 103, 178, 191)
HK17;94;64-bits KEM - HK17-O-64 - 8-bits version;16;(61, 98, 240, 136, 132, 181, 45, 216);(237, 120, 150, 150, 243, 128, 213, 234);26;167;255;192;[(199, 15), (215, 14), (63, 13), (19, 12), (63, 11), (64, 10), (188, 9), (117, 8), (188, 7), (226, 6), (54, 5), (124, 4), (147, 3), (35, 2), (217, 1), (94, 0)];[(8, 15), (237, 14), (68, 13), (219, 12), (233, 11), (241, 10), (165, 9), (123, 8), (143, 7), (247, 6), (19, 5), (144, 4), (173, 3), (90, 2), (215, 1), (79, 0)];(152, 14, 70, 218, 196, 201, 204, 131);(237, 222, 210, 5, 44, 91, 167, 16);(37, 201, 162, 106, 218, 13, 43, 96);(37, 201, 162, 106, 218, 13, 43, 96)
HK17;95;64-bits KEM - HK17-O-64 - 8-bits version;16;(5, 131, 45, 145, 152, 37, 109, 165);(111, 173, 49, 249, 169, 7, 156, 4);101;239;246;129;[(20, 15), (137, 14), (115, 13), (132, 12), (115, 11), (193, 10), (168, 9), (38, 8), (200, 7), (55, 6), (30, 5), (214, 4), (38, 3), (191, 2), (15, 1), (47, 0)];[(32, 15), (126, 14), (170, 13), (185, 12), (25, 11), (48, 10), (154, 9), (186, 8), (116, 7), (207, 6), (193, 5), (222, 4), (34, 3), (147, 2), (9, 1), (170, 0)];(247, 126, 2, 65, 89, 221, 229, 175);(248, 240, 195, 181, 229, 125, 146, 149);(42, 141, 166, 63, 115, 239, 124, 241);(42, 141, 166, 63, 115, 239, 124, 241)
HK17;96;64-bits KEM - HK17-O-64 - 8-bits version;16;(225, 28, 164, 95, 42, 72, 238, 184);(157, 200, 44, 238, 96, 182, 74, 181);185;10;156;238;[(18, 15), (98, 14), (63, 13), (199, 12), (193, 11), (186, 10), (28, 9), (174, 8), (244, 7), (86, 6), (34, 5), (221, 4), (38, 3), (214, 2), (24, 1), (222, 0)];[(247, 15), (33, 14), (72, 13), (215, 12), (211, 11), (223, 10), (139, 9), (33, 8), (170, 7), (174, 6), (18, 5), (79, 4), (243, 3), (6, 2), (77, 1), (15, 0)];(223, 66, 140, 99, 198, 46, 28, 231);(12, 104, 25, 136, 61, 174, 37, 175);(148, 117, 223, 217, 42, 56, 197, 100);(148, 117, 223, 217, 42, 56, 197, 100)
HK17;97;64-bits KEM - HK17-O-64 - 8-bits version;16;(36, 227, 128, 10, 159, 54, 148, 10);(81, 78, 79, 1, 221, 179, 158, 225);3;196;102;26;[(70, 15), (217, 14), (220, 13), (50, 12), (32, 11), (114, 10), (75, 9), (228, 8), (98, 7), (146, 6), (177, 5), (177, 4), (40, 3), (76, 2), (2, 1), (15, 0)];[(74, 15), (236, 14), (238, 13), (8, 12), (173, 11), (7, 10), (24, 9), (98, 8), (95, 7), (24, 6), (175, 5), (9, 4), (64, 3), (144, 2), (133, 1), (133, 0)];(121, 22, 93, 207, 104, 219, 76, 51);(187, 102, 71, 232, 123, 175, 213, 241);(91, 188, 136, 11, 176, 116, 15, 206);(91, 188, 136, 11, 176, 116, 15, 206)
HK17;98;64-bits KEM - HK17-O-64 - 8-bits version;16;(144, 116, 223, 45, 127, 114, 183, 58);(86, 152, 216, 139, 189, 10, 67, 178);153;159;113;145;[(216, 15), (243, 14), (47, 13), (247, 12), (59, 11), (86, 10), (126, 9), (117, 8), (188, 7), (208, 6), (22, 5), (2, 4), (211, 3), (20, 2), (109, 1), (163, 0)];[(151, 15), (126, 14), (115, 13), (78, 12), (187, 11), (112, 10), (63, 9), (221, 8), (21, 7), (172, 6), (134, 5), (29, 4), (203, 3), (114, 2), (10, 1), (89, 0)];(172, 6, 34, 65, 222, 75, 132, 51);(40, 103, 167, 208, 227, 216, 100, 43);(64, 178, 64, 156, 117, 74, 85, 202);(64, 178, 64, 156, 117, 74, 85, 202)
HK17;99;64-bits KEM - HK17-O-64 - 8-bits version;16;(134, 176, 86, 200, 104, 245, 69, 100);(61, 76, 109, 229, 88, 238, 158, 182);133;81;68;51;[(223, 15), (11, 14), (172, 13), (230, 12), (90, 11), (148, 10), (49, 9), (108, 8), (178, 7), (4, 6), (190, 5), (101, 4), (98, 3), (111, 2), (142, 1), (232, 0)];[(7, 15), (246, 14), (247, 13), (3, 12), (220, 11), (94, 10), (161, 9), (200, 8), (48, 7), (70, 6), (149, 5), (185, 4), (235, 3), (48, 2), (14, 1), (237, 0)];(166, 82, 182, 47, 0, 190, 142, 93);(29, 93, 190, 245, 188, 164, 191, 109);(14, 145, 63, 247, 214, 47, 184, 171);(14, 145, 63, 247, 214, 47, 184, 171)
HK17;100;64-bits KEM - HK17-O-64 - 8-bits version;16;(71, 74, 126, 110, 182, 74, 76, 35);(232, 54, 87, 136, 201, 223, 208, 127);169;124;79;142;[(7, 15), (47, 14), (119, 13), (222, 12), (169, 11), (126, 10), (100, 9), (126, 8), (180, 7), (145, 6), (6, 5), (107, 4), (95, 3), (84, 2), (112, 1), (104, 0)];[(93, 15), (204, 14), (154, 13), (165, 12), (116, 11), (204, 10), (170, 9), (164, 8), (72, 7), (38, 6), (208, 5), (17, 4), (43, 3), (245, 2), (27, 1), (97, 0)];(150, 12, 31, 190, 232, 249, 60, 68);(249, 11, 179, 187, 199, 152, 31, 224);(141, 3, 24, 6, 64, 55, 161, 236);(141, 3, 24, 6, 64, 55, 161, 236)
